X,Y,id,name,population
-73.421,46.0996,places.255,Notre-Dame de Lourdes,3141
-73.1593,45.3365,places.256,Mont-Saint-Grégoire,3136
-74.1877,46.007,places.257,Val-Morin,3123
-69.1699,48.1221,places.258,Trois-Pistoles,3115
-71.9295,46.0278,places.259,Saint-Christophe-d'Arthabaska,3111
-70.4582,47.0373,places.260,Cap-Saint-Ignace,3099
-64.2136,48.5223,places.261,Percé,3095
-75.246,45.5982,places.262,Thurso,3084
-70.2262,47.6945,places.263,Clermont,3065
-74.3336,45.5637,places.264,Saint-André-d'Argenteuil,3053
-72.7601,45.6525,places.265,Saint-Liboire,3036
-65.2491,48.0294,places.266,Paspébiac,3033
-68.4242,48.477,places.267,Saint-Anaclet-de-Lessard,3019
-71.8041,45.5337,places.268,Stoke,3014
-73.1432,46.4627,places.269,Saint-Alexis-des-Monts,2999
-71.1105,48.6212,places.270,Saint-David-de-Falardeau,2996
-72.5297,48.8372,places.271,Normandin,2991
-71.0105,46.8294,places.272,Beaumont,2968
-73.2492,45.6044,places.273,Saint-Mathieu-de-Beloeil,2952
-71.3665,46.5102,places.274,Saint-Gilles,2910
-71.0763,46.0468,places.275,Saint-Méthode,2903
-71.653,48.4719,places.276,Saint-Bruno,2902
-72.0496,46.6827,places.277,Saint-Marc-des-Carrières,2901
-69.0882,48.7394,places.278,Forestville,2892
-72.9358,45.3541,places.279,Ange-Gardien,2889
-70.9253,47.0261,places.280,Sainte-Anne-de-Beaupré,2888
-72.8881,45.438,places.281,Saint-Paul-d'Abbotsford,2886
-75.3648,46.5565,places.282,Lac-des-Écorces,2885
-68.6449,47.5475,places.283,Dégelis,2884
-74.7462,45.6444,places.284,Pointe-au-Chêne,2883
-73.1214,45.5886,places.285,Sainte-Marie-Madeleine,2876
-68.3847,48.5485,places.286,Sainte-Luce-sur-Mer,2845
-72.0972,45.0107,places.287,Stanstead,2824
-72.8308,46.2824,places.288,Yamachiche,2813
-73.3818,46.292,places.289,Saint-Gabriel-de-Brandon,2803
-77.2428,48.3905,places.290,Senneterre,2782
-73.6808,45.3005,places.291,Saint-Isidore,2769
-74.7321,46.2791,places.292,Labelle,2765
-72.3358,48.5934,places.293,Saint-Prime,2760
-65.9822,48.1741,places.294,Maria,2760
-74.3612,45.1388,places.295,Saint-Anicet,2754
-79.0012,48.7554,places.296,Macamic,2744
-72.0475,45.2497,places.297,Sainte Catherine de Hatley,2741
-72.8531,45.5655,places.298,Saint-Dominique,2741
-65.4931,48.0449,places.299,Bonaventure,2733
-73.0638,46.0566,places.300,Sainte-Anne-de-Sorel,2731
-75.4498,46.7011,places.301,Ferme-Neuve,2716
-71.8248,46.7565,places.302,Saint-Basile,2709
-73.3737,45.0797,places.303,Lacolle,2708
-73.0537,45.4359,places.304,Rougemont,2696
-73.1173,45.2392,places.305,Saint-Alexandre,2678
-68.4039,58.1067,places.306,ᑰᑦᔪᐊᖅ Kuujjuaq,2668
-71.4655,45.7017,places.307,Weedon,2667
-73.6768,45.1571,places.308,Sainte-Clotilde,2646
-73.0498,45.6656,places.309,La Présentation,2638
-71.0613,46.4085,places.310,Saint-Elzéar,2623
-70.6562,45.9593,places.311,Saint-Martin,2588
-72.5001,45.7595,places.312,Wickham,2587
-73.7715,46.271,places.313,Saint-Côme,2583
-70.9408,46.7723,places.314,Saint-Charles-de-Bellechasse,2583
-73.7599,45.1027,places.315,Saint-Chrysostome,2582
-73.158,45.8909,places.316,Saint-Roch-de-Richelieu,2573
-71.6329,46.5402,places.317,Laurier-Station,2570
-71.0712,46.5048,places.318,Scott,2566
-72.9885,45.1205,places.319,Bedford,2558
-74.1739,45.0873,places.320,Huntingdon,2556
-78.7499,51.4776,places.321,ᐙᔅᑳᐦᐄᑲᓂᔥ Waskaganish,2536
-71.1372,46.4982,places.322,Saint-Bernard,2535
-72.3748,46.107,places.323,Saint-Léonard-d'Aston,2530
-71.7363,46.622,places.324,Sainte-Croix,2529
-66.6879,49.096,places.325,Cap-Chat,2516
-71.6787,48.3925,places.326,Hébertville,2500
-73.9177,46.6786,places.327,Saint-Michel-des-Saints,2496
-74.327,45.2242,places.328,Rivière-Beaudette,2489
-69.2238,47.4604,places.329,Estcourt,2481
-72.0483,45.5338,places.330,Saint-François-Xavier-de-Brompton,2469
-79.438,47.3323,places.331,Ville-Marie,2464
-70.7554,46.7956,places.332,Saint-Raphaël,2458
-73.089,45.9492,places.333,Sainte-Victoire-de-Sorel,2457
-73.0086,45.5268,places.334,Saint-Damase,2447
-68.6409,48.9416,places.335,Pessamit,2428
-72.5062,46.8153,places.336,Sainte-Thècle,2415
-73.4807,46.3337,places.337,Saint-Damien,2393
-73.8045,45.3465,places.338,Léry,2390
-76.0532,46.0934,places.339,Gracefield,2376
-74.3042,45.3021,places.340,Saint-Polycarpe,2372
-79.0955,46.7219,places.341,Témiscaming,2368
-73.3529,46.3592,places.342,Saint-Charles-de-Mandeville,2363
-72.1376,46.2043,places.343,Daveluyville,2360
-71.3596,45.9049,places.344,Disraeli,2360
-73.1572,45.7861,places.345,Saint-Denis-Sur-Richelieu,2339
-73.5184,45.3126,places.346,Saint-Mathieu,2339
-71.6185,46.8719,places.347,Fossambault-sur-le-Lac,2327
-73.0165,46.2282,places.348,Maskinongé,2323
-70.9538,46.0599,places.349,Saint-Éphrem-de-Beauce,2323
-70.9051,46.1482,places.350,Saint-Victor,2313
-71.8908,45.2771,places.351,Waterville,2307
-74.2563,45.7511,places.352,Lakefield,2283
-72.8454,45.2464,places.353,Brigham,2282
-72.3153,45.3012,places.354,Eastman,2279
-69.7803,46.9615,places.355,Saint-Pamphile,2274
-64.9798,48.165,places.356,Port-Daniel-Gascons,2271
-73.0938,45.5948,places.357,Sainte-Madeleine,2268
-67.0846,52.7931,places.358,Fermont,2256
-69.624,47.6832,places.359,Saint-Alexandre-de-Kamouraska,2255
-75.0295,46.3938,places.360,Nominingue,2255
-73.2074,46.0889,places.361,Sainte-Geneviève-de-Berthier,2253
-76.733,45.8534,places.362,Mansfield-et-Pontefract,2250
-71.0757,46.2167,places.363,East Broughton,2248
-73.1941,45.6772,places.364,Saint-Marc-sur-Richelieu,2245
-61.8495,47.2369,places.365,Havre-Aubert,2238
-71.9299,46.6492,places.366,Deschambault,2235
-71.354,46.8573,places.367,Wendake,2200
-72.7541,45.4829,places.368,Sainte-Cécile-de-Milton,2195
-74.1756,45.0367,places.369,Athelstan,2187
-72.4425,48.8837,places.370,Albanel,2181
-71.7758,48.4935,places.371,Saint-Gédéon,2177
-73.6208,46.1955,places.372,Sainte-Béatrix,2170
-75.0201,45.6188,places.373,Papineauville,2153
-67.227,48.3542,places.374,Causapscal,2147
-73.2295,45.2068,places.375,Sainte-Anne-de-Sabrevois,2143
-73.2785,45.1296,places.376,Saint-Paul-de-l'Île-aux-Noix,2141
-72.3151,45.4937,places.377,Valcourt,2139
-70.8892,46.7144,places.378,Saint-Gervais,2138
-77.2709,60.0394,places.379,ᐳᕕᕐᓂᑐᖅ Puvirnituq,2129
-72.8102,46.0701,places.380,Pierreville,2104
-70.6417,45.8534,places.381,Saint-Gédéon-de-Beauce,2093
-73.2874,45.2113,places.382,Saint-Blaise-sur-Richelieu,2092
-76.9805,49.0534,places.383,Lebel-sur-Quévillon,2091
-73.1199,46.1912,places.384,Saint-Barthélemy,2087
-71.671,48.6907,places.385,L'Ascension-de-Notre-Seigneur,2079
-73.57,46.0079,places.386,Saint-Liguori,2066
-70.9034,48.4503,places.387,Saint-Fulgence,2061
-73.1321,46.0654,places.388,Saint-Ignace-de-Loyola,2048
-72.6935,45.649,places.389,Upton,2046
-72.2086,46.5715,places.390,Sainte-Anne-de-la-Pérade,2031
-71.5498,48.5881,places.391,Saint-Nazaire,2029
-72.3919,45.0498,places.392,Mansonville,2012
-73.6661,45.8984,places.393,Saint-Esprit,2011
-72.2288,48.5759,places.394,Mashteuiatsh,2010
-71.5735,46.1073,places.395,Saint-Ferdinand,2007
-74.3877,47.2214,places.396,Manawan,2000
-74.9407,48.6564,places.397,Obedjiwan,1991
-77.6382,48.4372,places.398,Barraute,1986
-72.0693,45.858,places.399,Kingsey Falls,1986
-74.4722,46.1848,places.400,Lac Supérieur,1972
-65.6834,48.1026,places.401,Caplan,1966
-73.525,45.1655,places.402,Saint-Patrice-de-Sherrington,1963
-73.9977,45.2141,places.403,Saint-Louis-de-Gonzague,1950
-72.9602,46.4911,places.404,Saint-Élie-de-Caxton,1934
-75.9191,46.3807,places.405,Déléage,1916
-73.1494,45.0847,places.406,Venise-en-Québec,1899
-72.8236,46.0651,places.407,Saint-François-du-Lac,1898
-70.6572,46.6256,places.408,Saint-Damien-de-Buckland,1893
-73.9867,45.3907,places.409,Terrasse-Vaudreuil,1887
-70.9092,46.8741,places.410,Saint-Michel-de-Bellechasse,1871
-70.925,46.3765,places.411,Vallée-Jonction,1864
-74.1305,45.1776,places.412,Saint-Stanislas-de-Kostka,1852
-69.5016,47.9172,places.413,Cacouna,1848
-68.8679,48.295,places.414,Saint-Fabien,1834
-73.1082,45.3905,places.415,Sainte-Angèle-de-Monnoir,1828
-70.3482,46.4104,places.416,Sainte-Justine,1828
-78.1124,58.4537,places.417,ᐃᓄᒃᔪᐊᒃ Inukjuak,1821
-73.2217,46.1502,places.418,Saint-Cuthbert,1821
-71.3723,45.9681,places.419,Saint-Joseph-de-Coleraine,1820
-68.2496,49.1606,places.420,Pointe-Lebel,1817
-74.5994,45.624,places.421,Grenville,1816
-73,45.9724,places.422,Saint-Robert,1813
-70.7138,46.1832,places.423,Notre-Dame-des-Pins,1812
